index,en_date,en_title,en_link_1,en_desc_1,en_link_2,en_desc_2,en_link_3,en_desc_3,tc_date,tc_title,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,sc_date,sc_title,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2
81,April 2011,Enforcement against Unauthorised Building Works in New Territories Exempted Houses,https://web.archive.org/web/20190717143444/http://ofomb.ombudsman.hk/abc/files/DI203.pdf,Report (PDF),https://web.archive.org/web/20110522081015/http://www.ombudsman.gov.hk/concluded/2011_04_01.pdf,Summary (PDF),,,2011年4月,政府當局對新界豁免管制屋宇的違例建築工程所採取的執法行動,https://web.archive.org/web/20110522142332/http://www.ombudsman.gov.hk/tc/concluded/2011_04_01.pdf,摘要 (PDF),,,2011年4月,政府当局对新界豁免管制屋宇的违例建筑工程所采取的执法行动,https://web.archive.org/web/20110522051459/http://www.ombudsman.gov.hk/sc/concluded/2011_04_01.pdf,摘要 (PDF),,
80,December 2010,Transport Department Actions for Safe Operation of Public Light Buses,https://web.archive.org/web/20190717144832/http://ofomb.ombudsman.hk/abc/files/DI206.pdf,Report (PDF),https://web.archive.org/web/20110522081033/http://www.ombudsman.gov.hk/concluded/2010_12_02.doc,Summary (Word),,,2010年12月,運輸署如何改善公共小巴的營運安全,https://web.archive.org/web/20110522141240/http://www.ombudsman.gov.hk/tc/concluded/2010_12_02.doc,摘要 (Word),,,2010年12月,运输署如何改善公共小巴的营运安全,https://web.archive.org/web/20110522051926/http://www.ombudsman.gov.hk/sc/concluded/2010_12_02.doc,摘要 (Word),,
79,December 2010,Management of Non-Emergency Ambulance Transfer Service by Hospital Authority,https://web.archive.org/web/20190717145016/http://ofomb.ombudsman.hk/abc/files/DI194.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_12_01.doc,Summary (Word),,,2010年12月,醫院管理局非緊急救護車載送服務的管理,https://web.archive.org/web/20110522141939/http://www.ombudsman.gov.hk/tc/concluded/2010_12_01.doc,摘要 (Word),,,2010年12月,医院管理局非紧急救护车载送服务的管理,https://web.archive.org/web/20110522051809/http://www.ombudsman.gov.hk/sc/concluded/2010_12_01.doc,摘要 (Word),,
78,September 2010,Allocation and Monitoring of Government Land,https://web.archive.org/web/20190717145119/http://ofomb.ombudsman.hk/abc/files/DI184.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_09_02.doc,Summary (Word),,,2010年9月,政府土地的撥出及監管,https://web.archive.org/web/20110522141701/http://www.ombudsman.gov.hk/tc/concluded/2010_09_02.doc,摘要 (Word),,,2010年9月,政府土地的拨出及监管,https://web.archive.org/web/20110522052009/http://www.ombudsman.gov.hk/sc/concluded/2010_09_02.doc,摘要 (Word),,
77,September 2010,Driving-offence Points System,https://web.archive.org/web/20190717143832/http://ofomb.ombudsman.hk/abc/files/DI183.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_09_01.doc,Summary (Word),,,2010年9月,違例駕駛記分制度,https://web.archive.org/web/20110522141606/http://www.ombudsman.gov.hk/tc/concluded/2010_09_01.doc,摘要 (Word),,,2010年9月,违例驾驶记分制度,https://web.archive.org/web/20110522051737/http://www.ombudsman.gov.hk/sc/concluded/2010_09_01.doc,摘要 (Word),,
76,May 2010,Fire Safety Regulatory Measures,https://web.archive.org/web/20190717145011/http://ofomb.ombudsman.hk/abc/files/DI190.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_05_01.doc,Summary (Word),,,2010年5月,消防安全規管措施,https://web.archive.org/web/20110522141551/http://www.ombudsman.gov.hk/tc/concluded/2010_05_01.doc,摘要 (Word),,,2010年5月,消防安全规管措施,https://web.archive.org/web/20110522051609/http://www.ombudsman.gov.hk/sc/concluded/2010_05_01.doc,摘要 (Word),,
75,January 2010,Checking of Eligibility for Subsidised Medical Services,https://web.archive.org/web/20190717142711/http://ofomb.ombudsman.hk/abc/files/DI170.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_01_02.doc,Summary (Word),,,2010年1月,當局如何核實使用政府資助的醫療服務的資格,https://web.archive.org/web/20110522141429/http://www.ombudsman.gov.hk/tc/concluded/2010_01_02.doc,摘要 (Word),,,2010年1月,当局如何核实使用政府资助的医疗服务的资格,https://web.archive.org/web/20110522051331/http://www.ombudsman.gov.hk/sc/concluded/2010_01_02.doc,摘要 (Word),,
74,January 2010,Effectiveness of Administration of Code on Access to Information,https://web.archive.org/web/20190717055130/http://ofomb.ombudsman.hk/abc/files/DI189.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2010_01_01.doc,Summary (Word),,,2010年1月,政府推行《公開資料守則》的成效,https://web.archive.org/web/20110522141754/http://www.ombudsman.gov.hk/tc/concluded/2010_01_01.doc,摘要 (Word),,,2010年1月,政府推行《公开资料守则》的成效,https://web.archive.org/web/20110522051635/http://www.ombudsman.gov.hk/sc/concluded/2010_01_01.doc,摘要 (Word),,
73,October 2009,Granting of Disability Allowance and Processing of Appeals by Social Welfare Department,http://ofomb.ombudsman.gov.hk/doc/Disability%20Allowance%20report%20-f.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_10_01.doc,Summary (Word),,,2009年10月,社會福利署如何審批傷殘津貼及處理上訴個案,https://web.archive.org/web/20110522142109/http://www.ombudsman.gov.hk/tc/concluded/2009_10_01.doc,摘要 (Word),,,2009年10月,社会福利署如何审批伤残津贴及处理上诉个案,https://web.archive.org/web/20110522051414/http://www.ombudsman.gov.hk/sc/concluded/2009_10_01.doc,摘要 (Word),,
72,August 2009,Regulatory System of Lifts,https://web.archive.org/web/20190717143648/http://ofomb.ombudsman.hk/abc/files/f2009_08_01.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_08_01.doc,Summary (Word),,,2009年8月,升降機安全的規管制度,https://web.archive.org/web/20110522141322/http://www.ombudsman.gov.hk/tc/concluded/2009_08_01.doc,摘要 (Word),,,2009年8月,电梯安全的规管制度,https://web.archive.org/web/20110522052016/http://www.ombudsman.gov.hk/sc/concluded/2009_08_01.doc,摘要 (Word),,
71,August 2009,Housing Department's Handling of Complaints Involving Claims,https://web.archive.org/web/20201120190522/https://ofomb.ombudsman.hk/abc/files/f2009_08_02.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_08_02.doc,Summary (Word),,,2009年8月,房屋署如何處理涉及索償的投訴,https://web.archive.org/web/20110522141204/http://www.ombudsman.gov.hk/tc/concluded/2009_08_02.doc,摘要 (Word),,,2009年8月,房屋署如何处理涉及索偿的投诉,https://web.archive.org/web/20110522052036/http://www.ombudsman.gov.hk/sc/concluded/2009_08_02.doc,摘要 (Word),,
70,June 2009,System for Development of Question Papers in Public Examinations,https://web.archive.org/web/20201120084506/https://ofomb.ombudsman.hk/abc/files/f2009_06_01.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_06_01.doc,Summary (Word),,,2009年6月,公開考試試卷的編製,https://web.archive.org/web/20110522142054/http://www.ombudsman.gov.hk/tc/concluded/2009_06_01.doc,摘要 (Word),,,2009年6月,公开考试试卷的编制,https://web.archive.org/web/20110522051954/http://www.ombudsman.gov.hk/sc/concluded/2009_06_01.doc,摘要 (Word),,
68,March 2009,Support Services for Students with Specific Learning Difficulties,https://web.archive.org/web/20201120130852/https://ofomb.ombudsman.hk/abc/files/3-2009-1.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_03_01.doc,Summary (Word),,,2009年3月,政府當局為有特殊學習困難的學生所提供的支援服務,https://web.archive.org/web/20110522141507/http://www.ombudsman.gov.hk/tc/concluded/2009_03_01.doc,摘要 (Word),,,2009年3月,政府当局为有特殊学习困难的学生所提供的支持服务,https://web.archive.org/web/20110522051744/http://www.ombudsman.gov.hk/sc/concluded/2009_03_01.doc,摘要 (Word),,
69,March 2009,Free Admission Scheme for Leisure Facilities from July to September 2008,https://web.archive.org/web/20201120145630/https://ofomb.ombudsman.hk/abc/files/3-2009-2.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2009_03_02.doc,Summary (Word),,,2009年3月,二零零八年七月至九月期間推行的 「免費使用康樂設施計劃」的安排,https://web.archive.org/web/20090419234217/http://www.ombudsman.gov.hk/tc/concluded/2009_03_02.doc,摘要 (Word),,,2009年3月,二零零八年七月至九月期间推行的 「免费使用康乐设施计划」的安排,https://web.archive.org/web/20110522051802/http://www.ombudsman.gov.hk/sc/concluded/2009_03_02.doc,摘要 (Word),,
67,December 2008,Government's Measures for Street Management,https://web.archive.org/web/20201120182833/https://ofomb.ombudsman.hk/abc/files/12-2008-1.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2008_12_01.doc,Summary (Word),,,2008年12月,政府當局的街道管理措施,https://web.archive.org/web/20110522142424/http://www.ombudsman.gov.hk/tc/concluded/2008_12_01.doc,摘要 (Word),,,2008年12月,政府当局的街道管理措施,https://web.archive.org/web/20110522051657/http://www.ombudsman.gov.hk/sc/concluded/2008_12_01.doc,摘要 (Word),,
66,December 2008,Control of Roadside Banners,https://web.archive.org/web/20201118150201/https://ofomb.ombudsman.hk/abc/files/12-2008-2.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2008_12_02.doc,Summary (Word),,,2008年12月,政府當局對路旁宣傳橫額的規管,https://web.archive.org/web/20110522141215/http://www.ombudsman.gov.hk/tc/concluded/2008_12_02.doc,摘要 (Word),,,2008年12月,政府当局对路旁宣传横额的规管,https://web.archive.org/web/20110522051345/http://www.ombudsman.gov.hk/sc/concluded/2008_12_02.doc,摘要 (Word),,
65,December 2008,Prevention of Abuse of Special Grants under the CSSA Scheme,https://web.archive.org/web/20201120114921/https://ofomb.ombudsman.hk/abc/files/12-2008-3.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2008_12_03.doc,Summary (Word),,,2008年12月,防止綜援計劃特別津貼遭濫用的機制,https://web.archive.org/web/20110522141449/http://www.ombudsman.gov.hk/tc/concluded/2008_12_03.doc,摘要 (Word),,,2008年12月,防止综援计划特别津贴遭滥用的机制,https://web.archive.org/web/20110522051400/http://www.ombudsman.gov.hk/sc/concluded/2008_12_03.doc,摘要 (Word),,
64,June 2008,Effectiveness of the Integrated Call Centre in Handling Complaints,https://web.archive.org/web/20201120002534/https://ofomb.ombudsman.hk/abc/files/6-2008-1.pdf,Report (PDF),http://www.ombudsman.gov.hk/concluded/2008_06_01.doc,Summary (Word),,,2008年6月,綜合電話查詢中心處理投訴的成效,https://web.archive.org/web/20110522141855/http://www.ombudsman.gov.hk/tc/concluded/2008_06_01.doc,摘要 (Word),,,2008年6月,综合电话搜索中心处理投诉的成效,https://web.archive.org/web/20110522051548/http://www.ombudsman.gov.hk/sc/concluded/2008_06_01.doc,摘要 (Word),,
