index,en_date,en_title,en_link,en_desc,tc_date,tc_title,tc_link,tc_desc,sc_date,sc_title,sc_link,sc_desc
46,August 2021,CEDB’s handling of request for the list of members of the dedicated team for reviewing the governance and management of RTHK,https://web.archive.org/web/20220707205419/http://ofomb.ombudsman.hk/abc/files/CEDB_code_EN202108_0.pdf,Report (PDF),2021年8月,商經局對索取「檢討香港電台管治及管理專責小組」成員名單的處理,https://web.archive.org/web/20211204092259/https://ofomb.ombudsman.hk/abc/files/CEDB_code_TC202108_0.pdf,全文 (PDF),2021年8月,商经局对索取「检讨香港电台管治及管理专责小组」成员名单的处理,https://web.archive.org/web/20211204090109/https://ofomb.ombudsman.hk/abc/files/CEDB_code_SC202108.pdf,全文 (PDF)
45,June 2021,DH refused to disclose the voting results and advice of its two Scientific Committees and Government’s Expert Advisory Panel on COVID-19 vaccine procurement by Government,https://web.archive.org/web/20211204074804/https://ofomb.ombudsman.hk/abc/files/DH_code_EN202106.pdf,Report (PDF),2021年6月,衞生署拒絕披露轄下兩個科學委員會及政府防疫專家顧問對政府採購2019冠狀病毒病疫苗的投票結果及意見,https://web.archive.org/web/20211204070829/https://ofomb.ombudsman.hk/abc/files/DH_code_TC202106.pdf,全文 (PDF),2021年6月,卫生署拒绝披露辖下两个科学委员会及政府防疫专家顾问对政府采购2019冠状病毒病疫苗的投票结果及意见,https://web.archive.org/web/20211204080511/https://ofomb.ombudsman.hk/abc/files/DH_code_SC202106.pdf,全文 (PDF)
44,April 2021,HKPF refused to provide information about fixed penalty notices issued pursuant to two subsidiary regulations under the Prevention and Control of Disease Ordinance,https://web.archive.org/web/20211204090830/https://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202104.pdf,Report (PDF),2021年4月,警務處拒絕提供根據《預防及控制疾病條例》的兩項附屬法例而發出的定額罰款通知書資料,https://web.archive.org/web/20211204073904/https://ofomb.ombudsman.hk/abc/files/HKPF_code_TC202104_0.pdf,全文 (PDF),2021年4月,警务处拒绝提供根据《预防及控制疾病条例》的两项附属法例而发出的定额罚款通知书资料,https://web.archive.org/web/20211204065019/https://ofomb.ombudsman.hk/abc/files/HKPF_code_SC202104_0.pdf,全文 (PDF)
43,March 2021,REO failing to provide statistics on registered electors,https://web.archive.org/web/20211204091224/https://ofomb.ombudsman.hk/abc/files/REO_code__EN202103_0.pdf,Report (PDF),2021年3月,選舉處未能提供選民登記數字,https://web.archive.org/web/20211204084930/https://ofomb.ombudsman.hk/abc/files/REO_code_TC202103_0.pdf,全文 (PDF),2021年3月,选举处未能提供选民登记数字,https://web.archive.org/web/20211204074116/https://ofomb.ombudsman.hk/abc/files/REO_code_SC202103_0.pdf,全文 (PDF)
42,September 2020,GLD refused to provide information about distribution of Personal Protection Equipment between 2017 and 2019,https://web.archive.org/web/20220708082216/http://ofomb.ombudsman.hk/abc/files/GLD_code_EN202009.docx,Report (Word),2020年9月,有關物流署拒絕提供2017至2019年期間分配個人防護裝備的資料,http://ofomb.ombudsman.hk/abc/files/GLD_code_TC202009.docx,全文 (Word),2020年9月,有关物流署拒绝提供2017至2019年期间分配个人防护装备的资料,https://ofomb.ombudsman.hk/abc/files/GLD_code_SC202009.docx,全文 (Word)
41,August 2020,CSD refused to provide information about sale of its manufactured masks to non-governmental organisations between 2017 and 2019,https://web.archive.org/web/20220707190502/http://ofomb.ombudsman.hk/abc/files/CSD_code_EN202008.docx,Report (Word),2020年8月,有關懲教署拒絕提供2017至2019年期間出售該署生產的口罩至非政府組織的資料,http://ofomb.ombudsman.hk/abc/files/CSD_code_TC202008.docx,全文 (Word),2020年8月,有关惩教署拒绝提供2017至2019年期间出售该署生产的口罩至非政府组织的资料,https://ofomb.ombudsman.hk/abc/files/CSD_code_SC202008.docx,全文 (Word)
40,August 2020,SWD refused to provide the number of “places of agency quota” of a residential care home for the elderly,https://web.archive.org/web/20220707172030/http://ofomb.ombudsman.hk/abc/files/SWD_code_EN202008.docx,Report (Word),2020年8月,社署拒絕提供某安老院的「機構名額宿位」數目,http://ofomb.ombudsman.hk/abc/files/SWD_code_TC202008.docx,全文 (Word),2020年8月,社署拒绝提供某安老院的「机构名额宿位」数目,https://ofomb.ombudsman.hk/abc/files/SWD_code_SC202008.docx,全文 (Word)
39,July 2020,SB refused to disclose information regarding the written submissions received by the Government on the proposed amendments to the Mutual Legal Assistance Ordinance and the Fugitive Offenders Ordinance,http://ofomb.ombudsman.hk/abc/files/SB_code_EN202006.doc,Report (Word),2020年7月,保安局拒絕披露政府就《刑事事宜相互法律協助條例》和《逃犯條例》修訂建議所接到的書面意見的有關資料,http://ofomb.ombudsman.hk/abc/files/SB_code__TC202006.docx,全文 (Word),2020年7月,保安局拒绝披露政府就《刑事事宜相互法律协助条例》和《逃犯条例》修订建议所接到的书面意见的有关资料,https://ofomb.ombudsman.hk/abc/files/SB_code__SC202006.docx,全文 (Word)
38,June 2020,HKPF refused to provide the costs and particulars of tear gas rounds procured between 2014 and 2019,https://web.archive.org/web/20220530114246/https://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202006__02.docx,Report (Word),2020年6月,警務處拒絕披露在2014至2019年期間採購催淚彈的費用及詳情,http://ofomb.ombudsman.hk/abc/files/HKPF_code_TC202006__02.docx,全文 (Word),2020年6月,警务处拒绝披露在2014至2019年期间采购催泪弹的费用及详情,https://ofomb.ombudsman.hk/abc/files/HKPF_code_SC202006__02.docx,全文 (Word)
37,June 2020,HKPF's refusal to disclose the composition and brands of tear gas rounds used and coloured solution sprayed by specialised crowd management vehicles,https://web.archive.org/web/20220530110323/https://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202006.docx,Report (Word),2020年6月,警務處拒絕披露所使用的催淚彈/催淚煙及「人群管理特別用途車」所噴出的顏色液體的成份和牌子,http://ofomb.ombudsman.hk/abc/files/HKPF_code_TC202006.docx,全文 (Word),2020年6月,警务处拒绝披露所使用的催泪弹/催泪烟及「人群管理特别用途车」所喷出的颜色液体的成份和牌子,https://ofomb.ombudsman.hk/abc/files/HKPF_code_SC202006.docx,全文 (Word)
36,May 2020,HKPF refused to provide headings of all chapters in Police General Orders,https://web.archive.org/web/20220708142502/http://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202005.docx,Report (Word),2020年5月,警務處拒絕提供《警察通例》所有章節的標題,http://ofomb.ombudsman.hk/abc/files/HKPF__code_TC202005.docx,全文 (Word),2020年5月,警务处拒绝提供《警察通例》所有章节的标题,https://ofomb.ombudsman.hk/abc/files/HKPF__code__SC202005.docx,全文 (Word)
35,March 2020,HKPF refused to provide the names and identification numbers of police officers engaged in certain operations,https://web.archive.org/web/20220530110328/https://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202003_0.docx,Report (Word),2020年3月,警務處拒絕披露曾參與某些行動的警務人員之姓名及編號,https://ofomb.ombudsman.hk/abc/files/HKPF_code_TC202003_0.docx,全文 (Word),2020年3月,警务处拒绝披露曾参与某些行动的警务人员之姓名及编号,https://ofomb.ombudsman.hk/abc/files/HKPF_code_SC202003_0.docx,全文 (Word)
34,March 2020,HKPF refused to provide information relating to procurement and disposal of tear gas rounds,https://web.archive.org/web/20220530110331/https://ofomb.ombudsman.hk/abc/files/HKPF_code_EN202003.docx,Report (Word),2020年3月,警務處拒絕提供採購和銷毀催淚彈／催淚煙的資料,https://ofomb.ombudsman.hk/abc/files/HKPF_code_TC202003.docx,全文 (Word),2020年3月,警务处拒绝提供采购和销毁催泪弹／催泪烟的资料,https://ofomb.ombudsman.hk/abc/files/HKPF_code_SC202003.docx,全文 (Word)
33,February 2020,DEVB refused to provide tenancy agreements for two revitalisation projects of historic buildings,https://web.archive.org/web/20220707191116/https://ofomb.ombudsman.hk/abc/files/DEVB_code_EN202002.docx,Report (Word),2020年2月,發展局拒絕提供兩項活化歷史建築物項目的租賃協議,https://ofomb.ombudsman.hk/abc/files/DEVB_code_TC202002.docx,全文 (Word),2020年2月,发展局拒绝提供两项活化历史建筑物项目的租赁协议,https://ofomb.ombudsman.hk/abc/files/DEVB_code_SC202002.docx,全文 (Word)
32,December 2019,JA refusing to provide information about the dates of taking the Judicial Oath for assuming office of three judges and names of the officers administering their oath,https://web.archive.org/web/20220707163251/https://ofomb.ombudsman.hk/abc/files/JA_code_EN201912.docx,Report (Word),2019年12月,司法政務處拒絕提供三名法官就任時作出司法宣誓日期及為其監誓人員的姓名,https://ofomb.ombudsman.hk/abc/files/JA_code_TC201912.docx,全文 (Word),2019年12月,司法政务处拒绝提供三名法官就任时作出司法宣誓日期及为其监誓人员的姓名,https://ofomb.ombudsman.hk/abc/files/JA_code_SC201912.docx,全文 (Word)
31,November 2019,Complaint against BD for refusing to provide investigation reports and other relevant information about alleged defective waste water pipes on the complainant’s premises,https://web.archive.org/web/20220708090026/https://ofomb.ombudsman.hk/abc/files/BD_code_EN201911.docx,Report (Word),2019年11月,有關屋宇署拒絕提供投訴人單位被指有廢水管破損的調查報告及其他相關資料的投訴,https://ofomb.ombudsman.hk/abc/files/BD_code_TC201911.docx,全文 (Word),2019年11月,有关屋宇署拒绝提供投诉人单位被指有废水管破损的调查报告及其他相关资料的投诉,https://ofomb.ombudsman.hk/abc/files/BD_code_SC201911.docx,全文 (Word)
30,September 2019,Complaint of delay and excessive masking in providing a report on traffic and transport impact assessment,https://web.archive.org/web/20220707163206/https://ofomb.ombudsman.hk/abc/files/CEDD_code_EN201909.docx,Report (Word),2019年9月,有關土拓署延誤提供一份交通及運輸影響評估報告及過度遮蓋報告內容的投訴,https://ofomb.ombudsman.hk/abc/files/CEDD_code_TC201909.docx,全文 (Word),2019年9月,有关土拓署延误提供一份交通及运输影响评估报告及过度遮盖报告内容的投诉,https://ofomb.ombudsman.hk/abc/files/CEDD_code_SC201909.docx,全文 (Word)
29,August 2019,TD refused to provide the list of tenderers and selection result of operators of three new franchised bus routes,https://ofomb.ombudsman.hk/abc/files/TD_Code_EN201908.docx,Report (Word),2019年8月,運輸署拒絕提供三條新專營巴士路線營辦商的遴選名單及結果,https://ofomb.ombudsman.hk/abc/files/TD_Code_TC201908.docx,全文 (Word),2019年8月,运输署拒绝提供三条新专营巴士路线营办商的遴选名单及结果,https://ofomb.ombudsman.hk/abc/files/TD_Code_SC201908.docx,全文 (Word)
28,May 2019,Complaint against OFCA for refusing to provide the service options menus of its telephone hotline voice system,https://ofomb.ombudsman.hk/abc/files/OFCA_CODE_EN201905.docx,Report (Word),2019年5月,通訊辦拒絕提供其電話熱線語音系統的服務選項列表,https://ofomb.ombudsman.hk/abc/files/OFCA_CODE_TC201905.docx,全文 (Word),2019年5月,通讯办拒绝提供其电话热线语音系统的服务选项列表,https://ofomb.ombudsman.hk/abc/files/OFCA_CODE_SC201905.docx,全文 (Word)
27,March 2019,SWD refused to provide annual accounting inspections records of an elderly home,https://web.archive.org/web/20220707145338/https://ofomb.ombudsman.hk/abc/files/SWD_Code_En201903.docx,Report (Word),2019年3月,社署拒絕提供其對某安老院的會計審核記錄,https://ofomb.ombudsman.hk/abc/files/SWD_code_TC201903.docx,全文 (Word),2019年3月,社署拒绝提供其对某安老院的会计审核记录,https://ofomb.ombudsman.hk/abc/files/SWD_code_SC.docx,全文 (Word)
26,February 2019,TD refused to provide the Code of Practice for the examination of private cars and light goods vehicles at designated car testing centres,https://ofomb.ombudsman.hk/abc/files/TD_code_EN201902.docx,Report (Word),2019年2月,運輸署拒絕提供私家車及輕型貨車在指定車輛測試中心進行車輛檢驗的實務守則,https://ofomb.ombudsman.hk/abc/files/TD_code_TC201902.docx,全文 (Word),2019年2月,运输署拒绝提供私家车及轻型货车在指定车辆测试中心进行车辆检验的实务守则,https://ofomb.ombudsman.hk/abc/files/TD_code_SC201902.docx,全文 (Word)
25,February 2019,Complaint against Lands Department for refusing to disclose the amounts of premium and administration fee paid by an applicant for change of land use who was granted a waiver in the form of a letter of no objection,https://web.archive.org/web/20220707173349/https://ofomb.ombudsman.hk/abc/files/LandsD_code_EN201902.docx,Report (Word),2019年2月,地政總署拒絕披露其透過發出「不反對通知書」豁免某申請人改變土地用途所需繳付的地價及行政費用金額,https://ofomb.ombudsman.hk/abc/files/LandsD_code_TC201902.docx,全文 (Word),2019年2月,地政总署拒绝披露其透过发出「不反对通知书」豁免某申请人改变土地用途所需缴付的地价及行政费用金额,https://ofomb.ombudsman.hk/abc/files/LandsD_code_SC201902.docx,全文 (Word)
24,January 2019,LCSD refused to provide the investigation report submitted by a sports association and the list of members of an investigation panel,https://web.archive.org/web/20220708061914/https://ofomb.ombudsman.hk/abc/files/LCSD_code_EN201901.docx,Report (Word),2019年1月,康文署拒絕提供由某體育總會提交的調查報告及調查委員會的成員名單,https://ofomb.ombudsman.hk/abc/files/LCSD_code_TC201901.docx,全文 (Word),2019年1月,康文署拒绝提供由某体育总会提交的调查报告及调查委员会的成员名单,https://ofomb.ombudsman.hk/abc/files/LCSD_code_SC201901.docx,全文 (Word)
23,December 2018,CSD failed to provide Mr A with various items of information related to his complaints against CSD in a timely manner,https://ofomb.ombudsman.hk/abc/files/CSD_Code_En201812.docx,Report (Word),2018年12月,懲教署未有適時向A先生提供多項與他投訴懲教署有關的資料,https://ofomb.ombudsman.hk/abc/files/CSD_code_TC201812.docx,全文 (Word),2018年12月,惩教署未有适时向A先生提供多项与他投诉惩教署有关的资料,https://ofomb.ombudsman.hk/abc/files/CSD_code_SC201812.docx,全文 (Word)
