index,en_date,en_link_1,en_desc_1,en_link_2,en_desc_2,en_link_3,en_desc_3,tc_date,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,tc_link_3,tc_desc_3,,sc_date,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2,sc_link_3,sc_desc_3
33,04.2020 - 03.2021,https://ofomb.ombudsman.hk/doc/engstatistics_2021.zip,Statistics (ZIP),https://web.archive.org/web/20220307204441/https://ofomb.ombudsman.hk/doc/yr33/ar2021.pdf,Report (PDF),https://web.archive.org/web/20220307204343/https://ofomb.ombudsman.hk/doc/eng33sum.pdf,Summary (PDF),二〇二〇年四月至二〇二一年三月,https://ofomb.ombudsman.hk/doc/chistatistics_2021.zip,統計圖表 (ZIP),https://web.archive.org/web/20210911012200/https://ofomb.ombudsman.hk/doc/yr33/tcar2021.pdf,全文 (PDF),https://ofomb.ombudsman.hk/doc/tcs33sum.pdf,摘要 (PDF),,二〇二〇年四月至二〇二一年三月,https://ofomb.ombudsman.hk/doc/scstatistics_2021.zip,统计图表 (ZIP),https://ofomb.ombudsman.hk/doc/yr33/scar2021.pdf,全文 (PDF),https://ofomb.ombudsman.hk/doc/scs33sum.pdf,摘要 (PDF)
32,04.2019 - 03.2020,https://ofomb.ombudsman.hk/doc/engstatistics_2020.zip,Statistics (ZIP),https://web.archive.org/web/20220307204330/https://ofomb.ombudsman.hk/doc/yr32/ar2020.pdf,Report (PDF),https://web.archive.org/web/20220307204344/https://ofomb.ombudsman.hk/doc/eng32sum.pdf,Summary (PDF),二〇一九年四月至二〇二〇年三月,https://ofomb.ombudsman.hk/doc/chistatistics_2020.zip,統計圖表 (ZIP),https://ofomb.ombudsman.hk/doc/yr32/tcar2020.pdf,全文 (PDF),https://ofomb.ombudsman.hk/doc/tcs32sum.pdf,摘要 (PDF),,二〇一九年四月至二〇二〇年三月,https://ofomb.ombudsman.hk/doc/scstatistics_2020.zip,统计图表 (ZIP),https://ofomb.ombudsman.hk/doc/yr32/scar2020.pdf,全文 (PDF),https://ofomb.ombudsman.hk/doc/scs32sum.pdf,摘要 (PDF)
31,04.2018 - 03.2019,https://web.archive.org/web/20191031202312/https://ofomb.ombudsman.hk/doc/engstatistics_2019.zip,Statistics (ZIP),https://web.archive.org/web/20220309000404/https://ofomb.ombudsman.hk/doc/yr31/ar2019.pdf,Report (PDF),https://web.archive.org/web/20191031202315/https://ofomb.ombudsman.hk/doc/eng31sum.docx,Summary (Word),二〇一八年四月至二〇一九年三月,https://web.archive.org/web/20191031202241/https://ofomb.ombudsman.hk/doc/chistatistics_2019.zip,統計圖表 (ZIP),https://web.archive.org/web/20191031202226/https://ofomb.ombudsman.hk/doc/yr31/tcar2019.pdf,全文 (PDF),https://web.archive.org/web/20191031202227/https://ofomb.ombudsman.hk/doc/tcs31sum.doc,摘要 (Word),,二〇一八年四月至二〇一九年三月,https://web.archive.org/web/20191031202004/https://ofomb.ombudsman.hk/doc/scstatistics_2019.zip,统计图表 (ZIP),https://web.archive.org/web/20191031202005/https://ofomb.ombudsman.hk/doc/yr31/scar2019.pdf,全文 (PDF),https://web.archive.org/web/20191031202001/https://ofomb.ombudsman.hk/doc/scs31sum.doc,摘要 (Word)
30,04.2017 - 03.2018,https://web.archive.org/web/20191031202313/https://ofomb.ombudsman.hk/doc/engstatistics_2018.xlsx,Statistics (Excel),https://ofomb.ombudsman.hk/doc/yr30/index.html,Report,https://web.archive.org/web/20220307204332/https://ofomb.ombudsman.hk/doc/eng30sum.pdf,Summary (PDF),二〇一七年四月至二〇一八年三月,https://web.archive.org/web/20191031202236/https://ofomb.ombudsman.hk/doc/chistatistics_2018.xlsx,統計圖表 (Excel),https://ofomb.ombudsman.hk/doc/yr30/index.html,本文,https://web.archive.org/web/20191031202221/https://ofomb.ombudsman.hk/doc/tcs30sum.pdf,摘要 (PDF),,二〇一七年四月至二〇一八年三月,https://web.archive.org/web/20191031202032/https://ofomb.ombudsman.hk/doc/scstatistics_2018.xlsx,统计图表 (Excel),https://ofomb.ombudsman.hk/doc/yr30/index.html,本文,https://web.archive.org/web/20191031202022/https://ofomb.ombudsman.hk/doc/sc30sum.pdf,摘要 (PDF)
29,04.2016 - 03.2017,https://web.archive.org/web/20191031202314/https://ofomb.ombudsman.hk/doc/engstatistics_2017.xlsx,Statistics (Excel),https://ofomb.ombudsman.hk/doc/yr29/index.html,Report,https://web.archive.org/web/20220307204414/https://ofomb.ombudsman.hk/doc/eng29sum.pdf,Summary (PDF),二〇一六年四月至二〇一七年三月,https://web.archive.org/web/20191031202237/https://ofomb.ombudsman.hk/doc/chistatistics_2017.xlsx,統計圖表 (Excel),https://ofomb.ombudsman.hk/doc/yr29/index.html,本文,https://web.archive.org/web/20191031202243/https://ofomb.ombudsman.hk/doc/tcs29sum.pdf,摘要 (PDF),,二〇一六年四月至二〇一七年三月,https://web.archive.org/web/20191031202031/https://ofomb.ombudsman.hk/doc/scstatistics_2017.xlsx,统计图表 (Excel),https://ofomb.ombudsman.hk/doc/yr29/index.html,本文,https://web.archive.org/web/20191031202028/https://ofomb.ombudsman.hk/doc/sc29sum.pdf,摘要 (PDF)
28,04.2015 - 03.2016,https://web.archive.org/web/20191031202310/https://ofomb.ombudsman.hk/doc/engstatistics_2016.xlsx,Statistics (Excel),https://ofomb.ombudsman.hk/doc/yr28/index.html,Report,https://web.archive.org/web/20220307204433/https://ofomb.ombudsman.hk/doc/eng28sum.pdf,Summary (PDF),二〇一五年四月至二〇一六年三月,https://web.archive.org/web/20191031202244/https://ofomb.ombudsman.hk/doc/chistatistics_2016.xlsx,統計圖表 (Excel),https://ofomb.ombudsman.hk/doc/yr28/index.html,本文,https://web.archive.org/web/20191031202214/https://ofomb.ombudsman.hk/doc/tcs28sum.pdf,摘要 (PDF),,二〇一五年四月至二〇一六年三月,https://web.archive.org/web/20191031202029/https://ofomb.ombudsman.hk/doc/scstatistics_2016.xlsx,统计图表 (Excel),https://ofomb.ombudsman.hk/doc/yr28/index.html,本文,https://web.archive.org/web/20191031202027/https://ofomb.ombudsman.hk/doc/sc28sum.pdf,摘要 (PDF)
27,04.2014 - 03.2015,https://web.archive.org/web/20191031202319/https://ofomb.ombudsman.hk/doc/27engstatistics.xlsx,Statistics (Excel),https://ofomb.ombudsman.hk/doc/yr27/index.html,Report,https://web.archive.org/web/20220307204329/https://ofomb.ombudsman.hk/doc/eng27sum.pdf,Summary (PDF),二〇一四年四月至二〇一五年三月,https://web.archive.org/web/20191031202219/https://ofomb.ombudsman.hk/doc/27chistatistics.xlsx,統計圖表 (Excel),https://ofomb.ombudsman.hk/doc/yr27/index.html,本文,https://web.archive.org/web/20160519090319/http://ofomb.ombudsman.hk/doc/tcs27sum.pdf,摘要 (PDF),,二〇一四年四月至二〇一五年三月,https://web.archive.org/web/20191031202026/https://ofomb.ombudsman.hk/doc/27scstatistics.xlsx,统计图表 (Excel),https://ofomb.ombudsman.hk/doc/yr27/index.html,本文,https://web.archive.org/web/20191031202030/https://ofomb.ombudsman.hk/doc/sc27sum.pdf,摘要 (PDF)
26,04.2013 - 03.2014,https://ofomb.ombudsman.hk/doc/yr26/index.html,Report,https://web.archive.org/web/20220120105826/http://ofomb.ombudsman.hk/doc/eng26sum.pdf,Summary (PDF),,,二〇一三年四月至二〇一四年三月,https://ofomb.ombudsman.hk/doc/yr26/index.html,本文,https://web.archive.org/web/20160519085842/http://ofomb.ombudsman.hk/doc/tcs26sum.pdf,摘要 (PDF),,,,二〇一三年四月至二〇一四年三月,https://ofomb.ombudsman.hk/doc/yr26/index.html,本文,https://web.archive.org/web/20191031201956/https://ofomb.ombudsman.hk/doc/sc26sum.pdf,摘要 (PDF),,
25,04.2012 - 03.2013,https://ofomb.ombudsman.hk/doc/yr25/index.shtml,Report,https://web.archive.org/web/20220307204348/https://ofomb.ombudsman.hk/doc/25sum.pdf,Summary (PDF),,,二〇一二年四月至二〇一三年三月,https://ofomb.ombudsman.hk/doc/yr25/index.shtml,本文,https://web.archive.org/web/20160519090654/http://ofomb.ombudsman.hk/doc/25sumtc.pdf,摘要 (PDF),,,,二〇一二年四月至二〇一三年三月,https://ofomb.ombudsman.hk/doc/yr25/index.shtml,本文,https://web.archive.org/web/20191031202029/https://ofomb.ombudsman.hk/doc/25sumsc.pdf,摘要 (PDF),,
24,04.2011 - 03.2012,https://ofomb.ombudsman.hk/doc/yr24/index.shtml,Report,https://web.archive.org/web/20220307204338/https://ofomb.ombudsman.hk/doc/24sum.pdf,Summary (PDF),,,二〇一一年四月至二〇一二年三月,https://ofomb.ombudsman.hk/doc/yr24/index.shtml,本文,https://web.archive.org/web/20160519085834/http://ofomb.ombudsman.hk/doc/24sumtc.pdf,摘要 (PDF),,,,二〇一一年四月至二〇一二年三月,https://ofomb.ombudsman.hk/doc/yr24/index.shtml,本文,https://web.archive.org/web/20191031201955/https://ofomb.ombudsman.hk/doc/24sumsc.pdf,摘要 (PDF),,
