index,en_date,en_title,en_link_1,en_desc_1,en_link_2,en_desc_2,tc_date,tc_title,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,sc_date,sc_title,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2
179,September 2022,Problem of Abandoned Vehicles on Government Land,https://web.archive.org/web/20221005143214/https://ofomb.ombudsman.hk/abc/files/DI451_Executive_Summary_EN.pdf,Summary (PDF),,,2022年9月,政府土地上棄置車輛的問題,https://ofomb.ombudsman.hk/abc/files/DI451_Report_Full_set_TC.pdf,全文 (PDF),https://ofomb.ombudsman.hk/abc/files/DI451_Executive_Summary_TC.pdf,摘要 (PDF),2022年9月,政府土地上弃置车辆的问题,https://ofomb.ombudsman.hk/abc/files/DI451_Report_Full_set_SC.pdf,全文 (PDF),https://ofomb.ombudsman.hk/abc/files/DI451_Executive_Summary_SC.pdf,摘要 (PDF)
180,September 2022,Problem of Alleged Illegal Operation of Kaito Ferry Service,https://ofomb.ombudsman.hk/abc/files/DI453_Executive_Summary_EN_0.pdf,Summary (PDF),,,2022年9月,船隻涉嫌違規經營街渡服務的問題,https://web.archive.org/web/20220901112629/https://ofomb.ombudsman.hk/abc/files/DI453_Report_Full_set_TC_0.pdf,全文 (PDF),https://ofomb.ombudsman.hk/abc/files/DI453_Executive_Summary_TC.pdf,摘要 (PDF),2022年9月,船只涉嫌违规经营街渡服务的问题,https://ofomb.ombudsman.hk/abc/files/DI453_Report_Full_set_SC_0.pdf,全文 (PDF),https://ofomb.ombudsman.hk/abc/files/DI453_Executive_Summary_SC.pdf,摘要 (PDF)
177,May 2022,Civil Aviation Department’s regulation of paragliding activities,https://web.archive.org/web/20220715045906/https://ofomb.ombudsman.hk/abc/files/DI449_Executive_Summary_EN.pdf,Summary (PDF),,,2022年5月,民航處對滑翔傘活動的規管,https://web.archive.org/web/20220526035903/https://ofomb.ombudsman.hk/abc/files/DI449_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220630063317/https://ofomb.ombudsman.hk/abc/files/DI449_Executive_Summary_TC.pdf,摘要 (PDF),2022年5月,民航处对滑翔伞活动的规管,https://ofomb.ombudsman.hk/abc/files/DI449_Report_Full_set_SC.pdf,全文 (PDF),https://ofomb.ombudsman.hk/abc/files/DI449_Executive_Summary_SC.pdf,摘要 (PDF)
178,May 2022,Effectiveness of Rodent Prevention and Control by Food and Environmental Hygiene Department,https://web.archive.org/web/20220715045855/https://ofomb.ombudsman.hk/abc/files/DI446_Executive_Summary_EN.pdf,Summary (PDF),,,2022年5月,食物環境衞生署執行防治鼠患工作成效,https://web.archive.org/web/20220812155427/http://ofomb.ombudsman.hk/abc/files/DI446_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220812154814/http://ofomb.ombudsman.hk/abc/files/DI446_Executive_Summary_TC.pdf,摘要 (PDF),2022年5月,食物环境卫生署执行防治鼠患工作成效,https://web.archive.org/web/20221115035603/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI446_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20221115040350/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI446_Executive_Summary_SC.pdf,摘要 (PDF)
176,April 2022,Management and effectiveness of waste separation bins,https://web.archive.org/web/20220715045925/https://ofomb.ombudsman.hk/abc/files/DI444_Report_Full_set_EN.pdf,Report (PDF),https://web.archive.org/web/20220715045848/https://ofomb.ombudsman.hk/abc/files/DI444_Executive_Summary_EN.pdf,Summary (PDF),2022年4月,廢物分類回收桶的管理和成效,https://web.archive.org/web/20220812154951/http://ofomb.ombudsman.hk/abc/files/DI444_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220630082317/https://ofomb.ombudsman.hk/abc/files/DI444_Executive_Summary_TC.pdf,摘要 (PDF),2022年4月,废物分类回收桶的管理和成效,https://web.archive.org/web/20220525012459/https://ofomb.ombudsman.hk/abc/files/DI444_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20221115035916/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI444_Executive_Summary_SC.pdf,摘要 (PDF)
175,February 2022,Government’s Regulation of Boarding Facilities for Foreign Domestic Helpers,https://web.archive.org/web/20220307204024/https://ofomb.ombudsman.hk/abc/files/DI447_Report_Full_set_EN.pdf,Report (PDF),https://web.archive.org/web/20220307203949/https://ofomb.ombudsman.hk/abc/files/DI447_Executive_Summary_EN.pdf,Summary (PDF),2022年2月,政府對外傭宿舍的規管,https://web.archive.org/web/20220812155130/http://ofomb.ombudsman.hk/abc/files/DI447_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220630062920/https://ofomb.ombudsman.hk/abc/files/DI447_Executive_Summary_TC.pdf,摘要 (PDF),2022年2月,政府对外佣宿舍的规管,https://web.archive.org/web/20221115033151/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI447_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20221115040027/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI447_Executive_Summary_SC.pdf,摘要 (PDF)
174,December 2021,"Regulatory Work on Dog Keepers’ Obligations by Agriculture, Fisheries and Conservation Department",https://web.archive.org/web/20220307203945/https://ofomb.ombudsman.hk/abc/files/DI445_Executive_Summary_EN.pdf,Summary (PDF),,,2021年12月,漁農自然護理署有關狗主責任的規管工作,https://web.archive.org/web/20220812155928/http://ofomb.ombudsman.hk/abc/files/DI445_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220630080358/https://ofomb.ombudsman.hk/abc/files/DI445_Executive_Summary_TC_0.pdf,摘要 (PDF),2021年12月,渔农自然护理署有关狗主责任的规管工作,https://web.archive.org/web/20221115041431/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI445_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20221115041557/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI445_Executive_Summary_SC_0.pdf,摘要 (PDF)
173,December 2021,Government’s Control of Illicit Fuelling Activities,https://web.archive.org/web/20220715045847/https://ofomb.ombudsman.hk/abc/files/DI448_Report_Full_set_EN.pdf,Report (PDF),https://web.archive.org/web/20220715045859/https://ofomb.ombudsman.hk/abc/files/DI448_Executive_Summary_EN_0.pdf,Summary (PDF),2021年12月,政府對非法燃油轉注活動的規管,https://web.archive.org/web/20220812154536/http://ofomb.ombudsman.hk/abc/files/DI448_Report_Full_set_TC_0.pdf,全文 (PDF),https://web.archive.org/web/20220630063130/https://ofomb.ombudsman.hk/abc/files/DI448_Executive_Summary_TC.pdf,摘要 (PDF),2021年12月,政府对非法燃油转注活动的规管,https://web.archive.org/web/20221115032847/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI448_Report_Full_set_SC_0.pdf,全文 (PDF),https://web.archive.org/web/20221115034922/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI448_Executive_Summary_SC.pdf,摘要 (PDF)
172,November 2021,Transport Department’s Requirements for Physical Fitness Certification of Driving Licence Applicants/Holders,https://web.archive.org/web/20220307204009/https://ofomb.ombudsman.hk/abc/files/DI450_Executive_Summary_EN.pdf,Summary (PDF),,,2021年11月,運輸署對駕駛執照申請人／持有人體格證明的要求,https://web.archive.org/web/20220812155110/http://ofomb.ombudsman.hk/abc/files/DI450_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220630071324/https://ofomb.ombudsman.hk/abc/files/DI450_Executive_Summary_TC.pdf,摘要 (PDF),2021年11月,运输署对驾驶执照申请人／ 持有人体格证明的要求,https://web.archive.org/web/20221115032400/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI450_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20221115035620/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI450_Executive_Summary_SC.pdf,摘要 (PDF)
171,July 2021,Government’s Arrangements for Engaging Outside Interpretation Services,https://web.archive.org/web/20211126103146/https://ofomb.ombudsman.hk/abc/files/DI443_Executive_Summary_EN_0.pdf,Summary (PDF),,,2021年7月,政府外聘傳譯服務安排,https://web.archive.org/web/20220812154929/http://ofomb.ombudsman.hk/abc/files/DI443_Report_Full_set_TC.pdf,全文 (PDF),https://web.archive.org/web/20220812155840/http://ofomb.ombudsman.hk/abc/files/DI443_Executive_Summary_TC_0.pdf,摘要 (PDF),2021年7月,政府外聘传译服务安排,https://web.archive.org/web/20221115033908/https://www.ombudsman.hk/wp-content/uploads/2022/07/DI443_Report_Full_set_SC.pdf,全文 (PDF),https://web.archive.org/web/20211202211821/https://ofomb.ombudsman.hk/abc/files/DI443_Executive_Summary_SC_0.pdf,摘要 (PDF)
