index,en_date,en_title,en_link,en_desc,tc_date,tc_title,tc_link,tc_desc,sc_date,sc_title,sc_link,sc_desc
186,March 2022,Transport Department’s handling of a media organisation’s application for a Certificate of Particulars of Vehicle,https://web.archive.org/web/20221115034005/https://www.ombudsman.hk/wp-content/uploads/2022/07/TD_IR_EN202203.pdf,Report (PDF),2022年3月,運輸署就某新聞媒體申請車輛登記細節證明書之處理,https://web.archive.org/web/20220807220835/https://ofomb.ombudsman.hk/abc/files/TD_IR_TC202203.pdf,全文 (PDF),2022年3月,运输署就某新闻媒体申请车辆登记细节证明书之处理,https://web.archive.org/web/20221115035219/https://www.ombudsman.hk/wp-content/uploads/2022/07/TD_IR_SC202203.pdf,全文 (PDF)
185,January 2022,Handling of a large-scale compulsory quarantine exercise by Department of Health and Civil Aid Service,https://ofomb.ombudsman.hk/abc/files/DH_CAS_IR_EN202201.pdf,Report (PDF),2022年1月,衞生署及民眾安全服務處就某大型強制檢疫行動之處理,https://ofomb.ombudsman.hk/abc/files/DH_CAS_IR_TC202201.pdf,全文 (PDF),2022年1月,卫生署及民众安全服务处就某大型强制检疫行动之处理,https://ofomb.ombudsman.hk/abc/files/DH_CAS_IR_SC202201.pdf,全文 (PDF)
184,January 2022,Food and Environmental Hygiene Department’s failure to provide oath-taking or declaration services for hawker licensing matters,https://ofomb.ombudsman.hk/abc/files/FEHD_IR_EN202201.pdf,Report (PDF),2022年1月,食物環境衞生署沒有就小販牌照事宜提供宣誓或聲明服務,https://web.archive.org/web/20220807212107/https://ofomb.ombudsman.hk/abc/files/FEHD_IR_TC202201.pdf,全文 (PDF),2022年1月,食物环境卫生署没有就小贩牌照事宜提供宣誓或声明服务,https://ofomb.ombudsman.hk/abc/files/FEHD_IR_SC202201.pdf,全文 (PDF)
183,December 2021,Publicity about minibus section fares under the Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities by Labour and Welfare Bureau and Transport Department,https://web.archive.org/web/20221115035804/https://www.ombudsman.hk/wp-content/uploads/2022/07/TD_IR_EN202112.pdf,Report (PDF),2021年12月,勞工及福利局和運輸署在「政府長者及合資格殘疾人士公共交通票價優惠計劃」下就分段收費的宣傳,https://web.archive.org/web/20220807212452/https://ofomb.ombudsman.hk/abc/files/TD_IR_TC202112.pdf,全文 (PDF),2021年12月,劳工及福利局和运输署在「政府长者及合资格残疾人士公共交通票价优惠计划」下就分段收费的宣传,https://web.archive.org/web/20221115035702/https://www.ombudsman.hk/wp-content/uploads/2022/07/TD_IR_SC202112.pdf,全文 (PDF)
182,November 2021,Lands Department’s handling of occupation of Government land by an arch canopy,https://web.archive.org/web/20221115040642/https://www.ombudsman.hk/wp-content/uploads/2022/07/Lands_IR_EN202111.pdf,Report (PDF),2021年11月,地政總署對拱篷佔用政府土地的處理,https://web.archive.org/web/20220807220303/https://ofomb.ombudsman.hk/abc/files/Lands_IR_TC202111.pdf,全文 (PDF),2021年11月,地政总署对拱篷占用政府土地的处理,https://web.archive.org/web/20221115041619/https://www.ombudsman.hk/wp-content/uploads/2022/07/Lands_IR_SC202111.pdf,全文 (PDF)
181,November 2021,Housing Department’s processing of applications for “Priority Scheme for Families with Elderly Members”,https://web.archive.org/web/20241108023558/https://www.ombudsman.hk/wp-content/uploads/2022/07/HD_IR_EN202111.pdf,Report (PDF),2021年11月,房屋署對「家有長者優先選樓計劃」申請的審批,https://web.archive.org/web/20230202181000/https://www.ombudsman.hk/wp-content/uploads/2022/07/HD_IR_TC202111.pdf,全文 (PDF),2021年11月,房屋署对「家有长者优先选楼计划」申请的审批,https://web.archive.org/web/20250422001057/https://www.ombudsman.hk/wp-content/uploads/2022/07/HD_IR_SC202111.pdf,全文 (PDF)
180,October 2021,Housing Department’s assessment of an application for paying original rent,https://web.archive.org/web/20221115035339/https://www.ombudsman.hk/wp-content/uploads/2022/07/HD_IR_EN202110.pdf,Report (PDF),2021年10月,房屋署對申請繳交原有租金個案的審批,https://web.archive.org/web/20220807211449/https://ofomb.ombudsman.hk/abc/files/HD_IR_TC202110.pdf,全文 (PDF),2021年10月,房屋署对申请缴交原有租金个案的审批,https://web.archive.org/web/20221115035229/https://www.ombudsman.hk/wp-content/uploads/2022/07/HD_IR_SC202110.pdf,全文 (PDF)
179,July 2021,Food and Environmental Hygiene Department’s handling of illegal extension of shops and fixed hawker pitches and accumulation of polyfoam boxes,https://web.archive.org/web/20221006230700/https://ofomb.ombudsman.hk/abc/files/FEHD_IR_EN202107.pdf,Report (PDF),2021年7月,食物環境衞生署就店舖及固定小販攤檔違例擴展營業範圍及街道堆積發泡膠箱問題的處理,https://web.archive.org/web/20220807212257/https://ofomb.ombudsman.hk/abc/files/FEHD_IR_TC202107.pdf,全文 (PDF),2021年7月,食物环境卫生署就店铺及固定小贩摊档违例扩展营业范围及街道堆积发泡胶箱问题的处理,https://web.archive.org/web/20221115041456/https://www.ombudsman.hk/wp-content/uploads/2022/07/FEHD_IR_SC202107.pdf,全文 (PDF)
178,June 2021,Ineffective enforcement of Food and Environmental Hygiene Department against obstruction of passageways by a market stall,https://web.archive.org/web/20221115041511/https://www.ombudsman.hk/wp-content/uploads/2022/07/FEHD_IR_EN202106.pdf,Report (PDF),2021年6月,食物環境衞生署對街市攤檔阻塞通道問題執管不力,https://web.archive.org/web/20220807222606/https://ofomb.ombudsman.hk/abc/files/FEHD_IR_TC202106.pdf,全文 (PDF),2021年6月,食物环境卫生署对街市摊档阻塞通道问题执管不力,https://web.archive.org/web/20221115041440/https://www.ombudsman.hk/wp-content/uploads/2022/07/FEHD_IR_SC202106.pdf,全文 (PDF)
177,June 2021,Education Bureau’s handling of a complaint about withdrawal from religious study,https://web.archive.org/web/20221115041443/https://www.ombudsman.hk/wp-content/uploads/2022/07/EDB_IR_EN202106_3.pdf,Report (PDF),2021年6月,教育局處理有關放棄修讀宗教科的投訴,https://web.archive.org/web/20220807211840/https://ofomb.ombudsman.hk/abc/files/EDB_IR_TC202106_3.pdf,全文 (PDF),2021年6月,教育局处理有关放弃修读宗教科的投诉,https://web.archive.org/web/20221115033608/https://www.ombudsman.hk/wp-content/uploads/2022/07/EDB_IR_SC202106_3.pdf,全文 (PDF)
