index,en_date,en_link_1,en_desc_1,en_link_2,en_desc_2,en_link_3,en_desc_3,tc_date,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,tc_link_3,tc_desc_3,sc_date,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2,sc_link_3,sc_desc_3
37,2024/2025,https://web.archive.org/web/20250705155334/https://www.ombudsman.hk/wp-content/uploads/2025/07/Annual-Report-of-The-Ombudsman-2024-25_W3C_EN-1.pdf,Report (PDF),https://web.archive.org/web/20250705155339/https://www.ombudsman.hk/wp-content/uploads/2025/07/AR-Summary-2024-25_EN.pdf,Summary (PDF),,,2024/2025,https://web.archive.org/web/20250705155334/https://www.ombudsman.hk/wp-content/uploads/2025/07/Annual-Report-of-The-Ombudsman-2024-25_W3C_TC.pdf,全文 (PDF),https://web.archive.org/web/20250705155344/https://www.ombudsman.hk/wp-content/uploads/2025/07/AR-Summary-2024-25_TC.pdf,摘要 (PDF),,,2024/2025,https://web.archive.org/web/20250705155331/https://www.ombudsman.hk/wp-content/uploads/2025/07/Annual-Report-of-The-Ombudsman-2024-25_W3C_SC.pdf,全文 (PDF),https://web.archive.org/web/20250705155346/https://www.ombudsman.hk/wp-content/uploads/2025/07/AR-Summary-2024-25_SC.pdf,摘要 (PDF),,
36,2023/2024,https://web.archive.org/web/20250601081430/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR2023-24-Full-set_plain-text_EN.docx,Text only (Word),https://web.archive.org/web/20250529183226/https://www.ombudsman.hk/wp-content/uploads/2024/07/Annual-Report-of-The-Ombudsman-2023-24_EN_W3C.pdf,Report (PDF),https://web.archive.org/web/20250529183039/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR-Summary-2023-24_EN_W3C.pdf,Summary (PDF),2023/2024,https://web.archive.org/web/20250529183934/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR2023-24-Full-set_plain-text_TC-1.docx,文字版本 (Word),https://web.archive.org/web/20240907085000/https://www.ombudsman.hk/wp-content/uploads/2024/07/Annual-Report-of-The-Ombudsman-2023-24_TC_W3C.pdf,全文 (PDF),https://web.archive.org/web/20250529183049/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR-Summary-2023-24_TC_W3C.pdf,摘要 (PDF),2023/2024,https://web.archive.org/web/20250529183926/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR2023-24-Full-set_plain-text_SC-1.docx,文字版本 (Word),https://web.archive.org/web/20250522175054/https://www.ombudsman.hk/wp-content/uploads/2024/08/Annual-Report-of-The-Ombudsman-2023-24_SC_W3C-1.pdf,全文 (PDF),https://web.archive.org/web/20250522175102/https://www.ombudsman.hk/wp-content/uploads/2024/07/AR-Summary-2023-24_SC_W3C.pdf,摘要 (PDF)
35,2022/2023,https://web.archive.org/web/20250529184702/https://www.ombudsman.hk/wp-content/uploads/2023/10/AR2022-23_Plain-Text_EN.docx,Text only (Word),https://web.archive.org/web/20250529184639/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_EN-W3C.pdf,Report (PDF),https://web.archive.org/web/20250529184712/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_Summary_EN-W3C.pdf,Summary (PDF),2022/2023,https://web.archive.org/web/20250529184630/https://www.ombudsman.hk/wp-content/uploads/2023/10/AR2022-23_Plain-Text_TC.docx,文字版本 (Word),https://web.archive.org/web/20230801191513/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_TC-W3C.pdf,全文 (PDF),https://web.archive.org/web/20250522175111/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_Summary_TC-W3C.pdf,摘要 (PDF),2022/2023,https://web.archive.org/web/20250529184633/https://www.ombudsman.hk/wp-content/uploads/2023/10/AR2022-23_Plain-Text_SC.docx,文字版本 (Word),https://web.archive.org/web/20250522175135/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_SC-W3C.pdf,全文 (PDF),https://web.archive.org/web/20250522175114/https://www.ombudsman.hk/wp-content/uploads/2023/07/AR2022-23_Summary_SC-W3C.pdf,摘要 (PDF)
34,2021/2022,https://web.archive.org/web/20221115071417/https://www.ombudsman.hk/wp-content/uploads/2022/09/Appendix_EN.zip,Statistics (ZIP),https://web.archive.org/web/20221115071338/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_EN_W3C.pdf,Report (PDF),https://web.archive.org/web/20221115071352/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_Summary_EN_W3C.pdf,Summary (PDF),2021/2022,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/09/Appendix_TC.zip,統計圖表 (ZIP),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_TC_W3C.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_Summary_TC_W3C.pdf,摘要 (PDF),2021/2022,https://web.archive.org/web/20221115071139/https://www.ombudsman.hk/wp-content/uploads/2022/09/Appendix_SC.zip,统计图表 (ZIP),https://web.archive.org/web/20221115071019/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_SC_W3C.pdf,全文 (PDF),https://web.archive.org/web/20221115071230/https://www.ombudsman.hk/wp-content/uploads/2022/09/AR2021-22_Summary_SC_W3C.pdf,摘要 (PDF)
33,2020/2021,https://web.archive.org/web/20221115071441/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2021.zip,Statistics (ZIP),https://web.archive.org/web/20221115071327/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21areng.pdf,Report (PDF),https://web.archive.org/web/20221115071402/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21_summaryeng.pdf,Summary (PDF),2020/2021,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2021.zip,統計圖表 (ZIP),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21_summarytc.pdf,摘要 (PDF),2020/2021,https://web.archive.org/web/20221115071228/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2021.zip,统计图表 (ZIP),https://web.archive.org/web/20221115071148/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071039/https://www.ombudsman.hk/wp-content/uploads/2022/07/2020-21_summarysc.pdf,摘要 (PDF)
32,2019/2020,https://web.archive.org/web/20221115071355/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2020.zip,Statistics (ZIP),https://web.archive.org/web/20221115071450/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_areng.pdf,Report (PDF),https://web.archive.org/web/20221115071345/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_summaryeng.pdf,Summary (PDF),2019/2020,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2020.zip,統計圖表 (ZIP),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_summarytc.pdf,摘要 (PDF),2019/2020,https://web.archive.org/web/20221115071234/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2020.zip,统计图表 (ZIP),https://web.archive.org/web/20221115071046/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115070946/https://www.ombudsman.hk/wp-content/uploads/2022/07/2019-20_summarysc.pdf,摘要 (PDF)
31,2018/2019,https://web.archive.org/web/20221115071423/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2019.zip,Statistics (ZIP),https://web.archive.org/web/20221115071335/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_areng.pdf,Report (PDF),https://web.archive.org/web/20221115071313/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_summaryeng.pdf,Summary (PDF),2018/2019,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2019.zip,統計圖表 (ZIP),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_summarytc.pdf,摘要 (PDF),2018/2019,https://web.archive.org/web/20221115071147/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2019.zip,统计图表 (ZIP),https://web.archive.org/web/20221115071220/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071017/https://www.ombudsman.hk/wp-content/uploads/2022/07/2018-19_summarysc.pdf,摘要 (PDF)
30,2017/2018,https://web.archive.org/web/20221115071325/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2018.xlsx,Statistics (Excel),https://web.archive.org/web/20221115071408/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18areng.pdf,Report (PDF),https://web.archive.org/web/20221115071257/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18_summaryeng.pdf,Summary (PDF),2017/2018,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2018.xlsx,統計圖表 (Excel),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18_summarytc.pdf,摘要 (PDF),2017/2018,https://web.archive.org/web/20221115071240/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2018.xlsx,统计图表 (Excel),https://web.archive.org/web/20221115070953/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071225/https://www.ombudsman.hk/wp-content/uploads/2022/07/2017-18_summarysc.pdf,摘要 (PDF)
29,2016/2017,https://web.archive.org/web/20221115071505/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2017.xlsx,Statistics (Excel),https://web.archive.org/web/20221115071414/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17areng.pdf,Report (PDF),https://web.archive.org/web/20221115071255/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17_summaryeng.pdf,Summary (PDF),2016/2017,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2017.xlsx,統計圖表 (Excel),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17artc.pdf,全文 (PDF),https://web.archive.org/web/20221210092538/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17_summarytc.pdf,摘要 (PDF),2016/2017,https://web.archive.org/web/20221115071000/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2017.xlsx,统计图表 (Excel),https://web.archive.org/web/20221115071212/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071120/https://www.ombudsman.hk/wp-content/uploads/2022/07/2016-17_summarysc.pdf,摘要 (PDF)
28,2015/2016,https://web.archive.org/web/20221115071436/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2016.xlsx,Statistics (Excel),https://web.archive.org/web/20221115071506/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16areng.pdf,Report (PDF),https://web.archive.org/web/20221115071356/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16_summaryeng.pdf,Summary (PDF),2015/2016,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2016.xlsx,統計圖表 (Excel),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16artc.pdf,全文 (PDF),https://web.archive.org/web/20221210091452/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16_summarytc.pdf,摘要 (PDF),2015/2016,https://web.archive.org/web/20221115071128/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2016.xlsx,统计图表 (Excel),https://web.archive.org/web/20221115071115/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071050/https://www.ombudsman.hk/wp-content/uploads/2022/07/2015-16_summarysc.pdf,摘要 (PDF)
